status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message
153080620724_10157856656835725,"The Palestinian terror attack today reminds the world of the grievous perils facing Israeli citizens. In a split second today, the streets of Jerusalem, Israel turned calamitous, shattered by gunfire as a Palestinian motorist trained his sights on Jews, killing two and wounding six others. 

It marks yet another in a string of terrorist incidents targeting Israeli civilians in 2016. Palestinian Authority President Mahmoud Abbas' recent attendance at the funeral of Shimon Peres, the late Israeli president and prime minister, should have marked a new chapter in Israeli-Palestinian relations. Instead, the streets of Jerusalem tragically flow once more with the blood of innocents. 

Our thoughts and prayers go out to the survivors and the families of the victims. We must work to defeat terror once and for all. I wish everyone in Israel and the Jewish community around the world a meaningful Yom Kippur and peace. 

Donald J. Trump",,status,,2016-10-09 17:18:02,43688,4003,5369,35357,858,143,65,5448,1817,26733.0,11806.0,"['The', 'Palestinian', 'terror', 'attack', 'today', 'reminds', 'world', 'grievous', 'perils', 'facing', 'Israeli', 'citizens', 'In', 'split', 'second', 'today', 'streets', 'Jerusalem', 'Israel', 'turned', 'calamitous', 'shattered', 'gunfire', 'Palestinian', 'motorist', 'trained', 'sights', 'Jews', 'killing', 'wounding', 'others', 'It', 'marks', 'another', 'string', 'terrorist', 'incidents', 'targeting', 'Israeli', 'civilians', 'Palestinian', 'Authority', 'President', 'Mahmoud', 'Abbas', 'recent', 'attendance', 'funeral', 'Shimon', 'Peres', 'late', 'Israeli', 'president', 'prime', 'minister', 'marked', 'new', 'chapter', 'relations', 'streets', 'Jerusalem', 'flow', 'blood', 'innocents', 'Our', 'thoughts', 'prayers', 'go', 'survivors', 'families', 'victims', 'We', 'must', 'work', 'defeat', 'terror', 'wish', 'everyone', 'Israel', 'Jewish', 'community', 'world', 'meaningful', 'Yom', 'Kippur', 'peace', 'Donald', 'Trump']"
153080620724_10157853758945725,Clinton News Network Telegraphs Its Anti-Trump Strategy for Tonight's Rigged Presidential Debate:,CNN: First Debate Question Will Go to Hillary About Leaked Trump Tape,link,http://trib.al/ByMM0rx,2016-10-09 15:30:09,56646,18858,12329,38088,423,974,2588,405,14168,38934.5,28943.5,"['Clinton', 'News', 'Network', 'Telegraphs', 'Its', 'Strategy', 'Tonight', 'Rigged', 'Presidential', 'Debate']"
153080620724_10157855155995725,In the debate hall - at Washington University in St. Louis - doing a walk thru with my team -- and the Presidential Debate Commission. Thank you for all of your support! -DJT,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157855155995725/?type=3,2016-10-09 15:23:05,67387,10573,2493,62118,4891,61,218,9,90,39750.5,193.5,"['In', 'debate', 'hall', 'Washington', 'University', 'Louis', 'walk', 'thru', 'team', 'Presidential', 'Debate', 'Commission', 'Thank', 'support']"
153080620724_10157854461795725,"EXCLUSIVE VIDEO: BROADDRICK, WILLEY, JONES TO BILL CLINTON'S DEFENDERS: 'THESE ARE CRIMES,' 'TERRIFIED' OF 'ENABLER' HILLARY CLINTON:","Exclusive Video–Broaddrick, Willey, Jones to Bill Clinton's Defenders: 'These Are Crimes,' 'Terrified' of 'Enabler' Hillary",link,http://trib.al/r8sn0xj,2016-10-09 13:43:20,36516,4337,11881,31001,495,1722,162,558,2578,35539.0,5993.0,"['EXCLUSIVE', 'VIDEO', 'BROADDRICK', 'WILLEY', 'JONES', 'TO', 'BILL', 'CLINTON', 'DEFENDERS', 'ARE', 'CRIMES', 'OF', 'HILLARY', 'CLINTON']"
153080620724_10157853315240725,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!,,status,,2016-10-09 10:47:04,110958,13626,4783,103299,5477,123,1743,69,247,64424.0,597.5,"['many', 'hypocrites', 'Watch', 'poll', 'numbers', 'elections', 'go']"
153080620724_10157853276080725,"Departing New York City for St. Louis now. Your support has been amazing - thank you. TOGETHER, WE are going to MAKE AMERICA SAFE AND GREAT AGAIN! -DJT",,status,,2016-10-09 10:40:07,88297,8730,2213,81115,6566,71,413,17,115,50514.0,255.5,"['Departing', 'New', 'York', 'City', 'Louis', 'Your', 'support', 'amazing', 'thank', 'TOGETHER', 'WE', 'going', 'MAKE', 'AMERICA', 'SAFE', 'AND', 'GREAT', 'AGAIN']"
153080620724_10157852533255725,EXCLUSIVE — Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes:,EXCLUSIVE — Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes - Breitbart,link,http://www.breitbart.com/2016-presidential-race/2016/10/09/breitbart-news-exclusive-video-interview-bill-clinton-accuser-juanita-broaddrick-breaks-describing-brutal-rapes/,2016-10-09 08:17:21,59718,8220,28773,40823,349,1404,272,8548,8322,65324.0,29466.0,"['EXCLUSIVE', 'Video', 'Interview', 'Bill', 'Clinton', 'Accuser', 'Juanita', 'Broaddrick', 'Relives', 'Brutal', 'Rapes']"
153080620724_10157852504635725,"Tremendous support (except for some Republican ""leadership""). Thank you.",,status,,2016-10-09 08:13:29,174121,18498,4641,160524,10794,146,2215,96,346,98163.5,836.0,"['Tremendous', 'support', 'except', 'Republican', 'leadership', 'Thank']"
153080620724_10157849870775725,Thank you to my amazing supporters outside of Trump Tower this afternoon. #ImWithYou,,video,https://www.facebook.com/DonaldTrump/videos/10157849870775725/,2016-10-08 19:49:46,151561,16860,19449,136194,13516,299,962,72,518,111085.5,1144.0,"['Thank', 'amazing', 'supporters', 'outside', 'Trump', 'Tower', 'afternoon', 'ImWithYou']"
153080620724_10157849343310725,,Juanita Broaddrick on Twitter,link,https://twitter.com/atensnut/status/784734493471019008,2016-10-08 17:44:47,40756,5074,7632,37254,2000,340,559,186,417,32415.0,1113.0,[]
153080620724_10157849338100725,,Juanita Broaddrick on Twitter,link,https://twitter.com/atensnut/status/784726633588592640,2016-10-08 17:43:52,53762,3815,14728,48568,1995,657,193,498,1851,49028.0,4449.0,[]
