status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
52293590957_10150318966820958,"I think a good cover song for us would be the Cars, 'Just What I Needed.' What do you think?",,status,,2011-10-01 14:15:03,0,1,0,0,0,0,0,0,0,0.0,0.0,"['think', 'good', 'cover', 'song', 'would', 'cars', 'what', 'needed', 'what', 'think']",1,0,9
52293590957_10150288730740958,"You like us on here, you should follow us on twitter. @POK_Band.",,status,,2011-09-06 16:24:25,0,0,0,0,0,0,0,0,0,0.0,0.0,"['you', 'like', 'follow', 'twitter']",1,0,3
52293590957_165431923530234,Pile of Kittens is now on iTunes!  Go write us a review.,Don't Trust - EP by Pile of Kittens - Download Don't Trust - EP on iTunes,link,http://itunes.apple.com/us/album/dont-trust-ep/id449682574,2011-07-17 19:31:32,1,1,0,1,0,0,0,0,0,0.5,0.0,"['pile', 'kittens', 'itunes', 'review']",0,0,4
52293590957_10150242223845958,"Hello, all you little Kittens! Just a reminder that the EP is out. So if you'd like to put in your orders, get in touch here. And by the way, Gaga gets to call all her fans 'Little Monsters,' hence why I'm calling all of you Little Kittens from now on.",,status,,2011-07-13 16:49:00,2,0,0,2,0,0,0,0,0,1.0,0.0,"['hello', 'little', 'kittens', 'just', 'reminder', 'like', 'put', 'orders', 'get', 'touch', 'and', 'way', 'gaga', 'gets', 'call', 'fans', 'monsters', 'calling', 'little', 'kittens']",2,0,18
52293590957_10150216249375958,"PUT YOUR ORDERS IN! I have copies of the Pile of Kittens EP. Let me know the best way to get it to you, and we'll figure out delivery options. - Tracey",,status,,2011-06-20 13:24:00,0,0,0,0,0,0,0,0,0,0.0,0.0,"['put', 'your', 'orders', 'copies', 'pile', 'kittens', 'let', 'know', 'best', 'way', 'get', 'figure', 'delivery', 'options', 'tracey']",1,0,14
52293590957_10150116352720958,'Don't Trust' EP coming out soon. It's all mastered and ready to go. Keep it here to find out how you can score yourself a copy.,,status,,2011-03-16 12:36:21,2,0,0,2,0,0,0,0,0,1.0,0.0,"['trust', 'coming', 'mastered', 'ready', 'keep', 'find', 'score', 'copy']",2,0,6
52293590957_10150096499225958,"is looking for a BASS PLAYER. Sadly, Doug is no longer with the band. If you or anyone else knows of someone who might be interested in coming out and auditioning with us, please get in touch. Thanks! And keep it rockin'!",,status,,2011-02-18 11:13:41,0,0,0,0,0,0,0,0,0,0.0,0.0,"['looking', 'bass', 'player', 'sadly', 'doug', 'longer', 'band', 'anyone', 'knows', 'someone', 'might', 'interested', 'coming', 'auditioning', 'please', 'get', 'touch', 'thanks', 'and', 'keep', 'rockin']",0,1,20
52293590957_150823634974751,We've been on hiatus for quite sometime. But will be keeping you all posted on when the EP is complete and released. Check back for updates!,,status,,2011-02-09 16:16:13,1,0,0,1,0,0,0,0,0,0.5,0.0,"['hiatus', 'quite', 'but', 'keeping', 'posted', 'complete', 'released', 'check', 'updates']",0,0,9
52293590957_178472388883,"We played Popeye's last night.  No Chicken, but some delicous rock and roll.  We're taking a break for a few months for some songwriting and baby rearing, but we'll be back soon!",,status,,2009-11-21 17:51:03,2,0,0,2,0,0,0,0,0,1.0,0.0,"['played', 'popeye', 'last', 'night', 'chicken', 'delicous', 'rock', 'roll', 'taking', 'break', 'months', 'songwriting', 'baby', 'rearing']",0,1,13
52293590957_1110673133087,Take a look at what Santa brought for everyone at the Grind My Gears: Xmas in July show.,Grind My Gears: Xmas in July Highlights,video,https://www.facebook.com/pileofkittens/videos/1110673133087/,2009-07-26 19:32:42,0,0,0,0,0,0,0,0,0,0.0,0.0,"['take', 'look', 'santa', 'brought', 'everyone', 'grind', 'gears', 'xmas', 'july', 'show']",0,1,9
52293590957_1092517599210,"Pile of Kittens playing songs including ""My Favorite Things"", ""Outside (Stand Cover)"", and ""Out of the Bag""",Pile of Kittens at GMG 3,video,https://www.facebook.com/pileofkittens/videos/1092517599210/,2009-06-16 00:20:23,1,0,0,1,0,0,0,0,0,0.5,0.0,"['pile', 'kittens', 'playing', 'songs', 'including', 'favorite', 'things', 'outside', 'stand', 'cover', 'out', 'bag']",1,0,11
52293590957_89629278449,"Grind My Gears 3: Game Show Night is on Thursday, June 2nd!  Come see us play!",www.pileofkittens.com,link,http://www.pileofkittens.com/gmg/,2009-06-02 14:37:03,0,0,0,0,0,0,0,0,0,0.0,0.0,"['grind', 'gears', 'game', 'show', 'night', 'thursday', 'june', 'come', 'see', 'play']",0,1,9
52293590957_74000640957,Pics from the Live Shows,Live Shots,photo,https://www.facebook.com/pileofkittens/photos/a.74000350957.77705.52293590957/74000640957/?type=3,2009-04-20 23:44:28,0,0,0,0,0,0,0,0,0,0.0,0.0,"['pics', 'live', 'shows']",0,0,3
52293590957_87853244624,Check out the video highlights from last month's Grind My Gears,vimeo.com,link,http://vimeo.com/moogaloop.swf?clip_id=4192365&server=vimeo.com&show_title=1&show_byline=1&show_portrait=0&color&fullscreen=1,2009-04-20 09:43:38,0,0,0,0,0,0,0,0,0,0.0,0.0,"['check', 'video', 'highlights', 'last', 'month', 'grind', 'gears']",0,1,6
52293590957_10150736400855958,"You know what really grinds my gears?
http://www.youtube.com/watch?v=2z90ZVUA3R4",,status,,2009-02-21 11:38:03,0,0,0,0,0,0,0,0,0,0.0,0.0,"['you', 'know', 'grinds', 'gears', 'http']",0,0,5
52293590957_10150736400825958,Awesome bio.,,status,,2009-02-21 11:19:42,0,0,0,0,0,0,0,0,0,0.0,0.0,"['awesome', 'bio']",1,0,1
52293590957_52296540957,Our first photo shoot,Ultrasound shots,photo,https://www.facebook.com/pileofkittens/photos/a.52296440957.66545.52293590957/52296540957/?type=3,2009-02-21 11:15:15,0,0,0,0,0,0,0,0,0,0.0,0.0,"['our', 'first', 'photo', 'shoot']",0,0,4
